simTime,id,x,laneNum,v,direction
0.0,1,2.8,3,28.0,1
1.0,1,30.35,3,27.28,1
1.0,2,3.0,1,30.0,1
2.0,1,57.3,3,26.75,1
2.0,2,33.26,1,30.43,1
2.0,3,2.2,2,22.0,1
3.0,1,83.81,3,26.36,1
3.0,2,63.92,1,30.8,1
3.0,3,24.8,2,22.99,1
3.0,4,2.6,1,26.0,1
4.0,1,109.98,3,26.06,1
4.0,2,94.93,1,31.13,1
4.0,3,48.34,2,23.89,1
4.0,4,29.11,1,26.83,1
4.0,5,2.9,3,29.0,1
5.0,1,135.89,3,25.83,1
5.0,2,126.23,1,31.41,1
5.0,3,72.73,2,24.72,1
5.0,4,56.39,1,27.58,1
5.0,5,32.0,3,29.17,1
5.0,6,2.5,2,25.0,1
6.0,7,3400.9,3,9.0,1
6.0,1,161.61,3,25.65,1
6.0,2,157.79,1,31.65,1
6.0,3,97.9,2,25.46,1
6.0,4,84.37,1,28.24,1
6.0,5,61.26,3,29.31,1
6.0,6,27.76,2,25.43,1
7.0,7,3410.76,3,10.42,1
7.0,2,189.56,1,31.86,1
7.0,1,187.17,3,25.51,1
7.0,3,123.76,2,26.11,1
7.0,4,112.96,1,28.81,1
7.0,5,90.38,3,29.0,1
7.0,6,53.43,2,25.83,1
7.0,8,2.7,2,27.0,1
8.0,7,3422.03,3,11.84,1
8.0,2,221.53,1,32.03,1
8.0,1,212.61,3,25.4,1
8.0,3,150.22,2,26.69,1
8.0,4,142.08,1,29.32,1
8.0,5,119.22,3,28.74,1
8.0,6,79.49,2,26.2,1
8.0,8,29.65,2,26.93,1
8.0,9,2.2,3,22.0,1
9.0,10,11000.8,3,8.0,1
9.0,7,3434.71,3,13.23,1
9.0,2,253.66,1,32.18,1
9.0,1,237.95,3,25.31,1
9.0,3,177.22,2,27.2,1
9.0,4,171.66,1,29.75,1
9.0,5,147.82,3,28.5,1
9.0,6,105.9,2,26.54,1
9.0,8,56.58,2,26.93,1
9.0,9,24.88,3,23.13,1
10.0,10,11009.66,3,9.43,1
10.0,11,11001.1,4,11.0,1
10.0,7,3448.77,3,14.61,1
10.0,2,285.92,1,32.31,1
10.0,1,263.23,3,25.25,1
10.0,3,204.69,2,27.64,1
10.0,4,201.63,1,30.12,1
10.0,5,176.19,3,28.29,1
10.0,6,132.63,2,26.85,1
10.0,8,83.54,2,26.99,1
10.0,9,48.65,3,24.18,1
11.0,10,11019.95,3,10.86,1
11.0,11,11012.95,4,12.42,1
11.0,7,3464.19,3,15.95,1
11.0,2,318.3,1,32.42,1
11.0,1,288.44,3,25.19,1
11.0,3,232.56,2,28.01,1
11.0,4,231.95,1,30.43,1
11.0,5,204.37,3,28.1,1
11.0,6,159.65,2,27.13,1
11.0,8,110.59,2,27.09,1
11.0,9,73.43,3,25.17,1
11.0,12,2.6,2,26.0,1
12.0,10,11031.66,3,12.28,1
12.0,11,11026.21,4,13.82,1
12.0,7,3480.93,3,17.26,1
12.0,2,350.77,1,32.51,1
12.0,1,313.61,3,25.15,1
12.0,4,262.55,1,30.7,1
12.0,3,260.76,2,28.33,1
12.0,5,232.36,3,27.92,1
12.0,6,186.93,2,27.38,1
12.0,8,137.75,2,27.21,1
12.0,9,99.14,3,26.06,1
12.0,12,28.91,2,26.51,1
12.0,13,2.4,1,24.0,1
13.0,10,11044.79,3,13.69,1
13.0,11,11040.87,4,15.21,1
13.0,14,11000.8,3,8.0,1
13.0,7,3498.94,3,18.52,1
13.0,2,383.33,1,32.59,1
13.0,1,338.74,3,25.12,1
13.0,4,293.39,1,30.93,1
13.0,3,289.27,2,28.61,1
13.0,5,260.18,3,27.75,1
13.0,6,214.45,2,27.61,1
13.0,8,165.03,2,27.34,1
13.0,9,125.68,3,26.86,1
13.0,12,55.69,2,26.94,1
13.0,13,26.93,1,24.93,1
14.0,10,11059.31,3,15.07,1
14.0,11,11056.9,4,16.57,1
14.0,14,11009.66,3,9.43,1
14.0,7,3518.19,3,19.72,1
14.0,2,415.96,1,32.65,1
14.0,1,363.85,3,25.09,1
14.0,4,324.44,1,31.12,1
14.0,3,318.02,2,28.84,1
14.0,5,287.84,3,27.6,1
14.0,6,242.18,2,27.8,1
14.0,8,192.46,2,27.48,1
14.0,9,152.98,3,27.57,1
14.0,12,82.86,2,27.31,1
14.0,13,52.43,1,25.87,1
14.0,15,2.4,2,24.0,1
15.0,10,11075.2,3,16.44,1
15.0,11,11074.27,4,17.91,1
15.0,14,11019.94,3,10.85,1
15.0,7,3538.61,3,20.86,1
15.0,2,448.65,1,32.71,1
15.0,1,388.93,3,25.07,1
15.0,4,355.66,1,31.28,1
15.0,3,346.97,2,29.03,1
15.0,5,315.34,3,27.45,1
15.0,6,270.09,2,27.98,1
15.0,8,220.02,2,27.62,1
15.0,9,180.92,3,28.18,1
15.0,12,110.36,2,27.62,1
15.0,13,78.83,1,26.73,1
15.0,15,26.98,2,24.96,1
15.0,16,3.0,1,30.0,1
16.0,10,11092.45,3,17.78,1
16.0,11,11091.55,4,15.66,1
16.0,14,11031.63,3,12.26,1
16.0,7,3560.12,3,21.93,1
